Regulator (TF or sigma);Target gene;mode of regulation;Ortholog of the target gene
algR (AL347_16050);ampDh3;?;ampDh3
algR (AL347_16050);PA0839;?;PA0839
algR (AL347_16050);PA0947;?;PA0947
algR (AL347_16050);pqsA;?;pqsA
algR (AL347_16050);pqsB;?;pqsB
algR (AL347_16050);pqsC;?;pqsC
algR (AL347_16050);pqsD;?;pqsD
algR (AL347_16050);pqsE;?;pqsE
algR (AL347_16050);roeA;?;roeA
algR (AL347_16050);rhlC;?;rhlC
algR (AL347_16050);PA1159;?;PA1159
algR (AL347_16050);cobO;?;cobO
algR (AL347_16050);PA1287;?;PA1287
algR (AL347_16050);cyoA;?;cyoA
algR (AL347_16050);PA1333;?;PA1333
algR (AL347_16050);fliL;?;fliL
algR (AL347_16050);ccmG;?;ccmG
algR (AL347_16050);alc;?;alc
algR (AL347_16050);PA1736;?;PA1736
algR (AL347_16050);liuE;?;liuE
algR (AL347_16050);PA2301;?;PA2301
algR (AL347_16050);PA2867;?;PA2867
algR (AL347_16050);PA2939;?;PA2939
algR (AL347_16050);xcpT;?;xcpT
algR (AL347_16050);fimV;?;fimV
algR (AL347_16050);asd;?;asd
algR (AL347_16050);PA3325;?;PA3325
algR (AL347_16050);PA3471;?;PA3471
algR (AL347_16050);PA3535;?;PA3535
algR (AL347_16050);PA3572;?;PA3572
algR (AL347_16050);pyrG;?;pyrG
algR (AL347_16050);dnaE;?;dnaE
algR (AL347_16050);mexK;?;mexK
algR (AL347_16050);PA3722;?;PA3722
algR (AL347_16050);lasB;?;lasB
algR (AL347_16050);PA3740;?;PA3740
algR (AL347_16050);nagE;?;nagE
algR (AL347_16050);PA3774;?;PA3774
algR (AL347_16050);PA3840;?;PA3840
algR (AL347_16050);ubiX;?;ubiX
algR (AL347_16050);PA4171;?;PA4171
algR (AL347_16050);phzA1;?;phzA1
algR (AL347_16050);phzB1;?;phzB1
algR (AL347_16050);phzC1;?;phzC1
algR (AL347_16050);phzD1;?;phzD1
algR (AL347_16050);phzE1;?;phzE1
algR (AL347_16050);phzF1;?;phzF1
algR (AL347_16050);rcpC;?;rcpC
algR (AL347_16050);PA4320;?;PA4320
algR (AL347_16050);PA4340;?;PA4340
algR (AL347_16050);PA4357;?;PA4357
algR (AL347_16050);PA4392;?;PA4392
algR (AL347_16050);PA4475;?;PA4475
algR (AL347_16050);PA4570;?;PA4570
algR (AL347_16050);oprJ;?;oprJ
algR (AL347_16050);glyA3;?;glyA3
algR (AL347_16050);PA4654;?;PA4654
algR (AL347_16050);PA4676;?;PA4676
algR (AL347_16050);PA4735;?;PA4735
algR (AL347_16050);PA4948;?;PA4948
algR (AL347_16050);opgG;?;opgG
algR (AL347_16050);tonB1;?;tonB1
algR (AL347_16050);atpI;?;atpI
algR (AL347_16050);algD;+;algD
algR (AL347_16050);pvdS;-;pvdS
algR (AL347_16050);algC;+;algC
algR (AL347_16050);speA;?;speA
algU (AL347_09705);PA0856;+;PA0856
algU (AL347_09705);bolA;+;bolA
algU (AL347_09705);PA1592;+;PA1592
algU (AL347_09705);tal;+;tal
algU (AL347_09705);PA3262;+;PA3262
algU (AL347_09705);alg8;+;alg8
algU (AL347_09705);alg44;+;alg44
algU (AL347_09705);algK;+;algK
algU (AL347_09705);algE;+;algE
algU (AL347_09705);algG;+;algG
algU (AL347_09705);algX;+;algX
algU (AL347_09705);algL;+;algL
algU (AL347_09705);algI;+;algI
algU (AL347_09705);algJ;+;algJ
algU (AL347_09705);algF;+;algF
algU (AL347_09705);algA;+;algA
algU (AL347_09705);PA3819;+;PA3819
algU (AL347_09705);ivy;+;ivy/ PA3902 
algU (AL347_09705);phuR;+;phuR
algU (AL347_09705);dksA;+;dksA
algU (AL347_09705);PA5291;+;PA5291 (betT2)
algU (AL347_09705);lptA;+;lptA
algU (AL347_09705);osmC;+;osmC
algU (AL347_09705);slyB;+;slyB
algU (AL347_09705);oprF;+;oprF
algU (AL347_09705);lptB;+;lptB
algU (AL347_09705);lptF;+;lptF
algU (AL347_09705);mucE;+;mucE
algU (AL347_09705);pyrR;?;pyrR
algU (AL347_09705);vfr;?;vfr
algU (AL347_09705);lasR;?;lasR
algU (AL347_09705);anr;?;anr
algU (AL347_09705);PA2177;?;PA2177
algU (AL347_09705);ppyR;?;ppyR
algU (AL347_09705);gltR;?;gltR
algU (AL347_09705);cbrB;?;cbrB
algU (AL347_09705);kinB;?;kinB
algU (AL347_09705);rpoH;+;rpoH
algU (AL347_09705);mucA;+;mucA
algU (AL347_09705);mucB;+;mucB
algU (AL347_09705);fleQ;-;fleQ
algU (AL347_09705);amrZ;+;amrZ
algU (AL347_09705);algU;+;algU
algU (AL347_09705);algZ;+;algZ
algU (AL347_09705);algB;+;algB
algU (AL347_09705);algR;+;algR
algU (AL347_09705);algD;+;algD
algU (AL347_09705);rsmA;+;rsmA
algU (AL347_09705);PA5526;+;PA5526
algU (AL347_09705);PA5514;+;PA5514
algU (AL347_09705);PA5488;+;PA5488
algU (AL347_09705);PA5473;+;PA5473
algU (AL347_09705);PA5472;+;PA5472
algU (AL347_09705);argB;+;argB
algU (AL347_09705);poxB;+;poxB
algU (AL347_09705);PA5290;+;PA5290
algU (AL347_09705);PA5258;+;PA5258
algU (AL347_09705);PA5246;+;PA5246
algU (AL347_09705);PA5245;+;PA5245
algU (AL347_09705);ppK;+;ppK
algU (AL347_09705);PA5212;+;PA5212
algU (AL347_09705);PA5192;+;PA5192 (pckA)
algU (AL347_09705);PA5148;+;PA5148
algU (AL347_09705);mutY;+;mutY
algU (AL347_09705);PA5146;+;PA5146
algU (AL347_09705);PA5131;+;PA5131 (pgm, yibO)
algU (AL347_09705);PA5121;+;PA5121
algU (AL347_09705);PA5110;+;PA5110 (fbp, cfxF, cbbF)
algU (AL347_09705);PA5109;+;PA5109
algU (AL347_09705);PA5108;+;PA5108
algU (AL347_09705);PA5107;+;PA5107 (blc)
algU (AL347_09705);opgG;+;opgG
algU (AL347_09705);PA5042;+;PA5042 (pilO)
algU (AL347_09705);PA5038;+;PA5038 (aroB)
algU (AL347_09705);PA5037;+;PA5037
algU (AL347_09705);PA4923;+;PA4923
algU (AL347_09705);azu;+;azu
algU (AL347_09705);PA4881;+;PA4881
algU (AL347_09705);PA4880;+;PA4880
algU (AL347_09705);PA4879;+;PA4879
algU (AL347_09705);PA4877;+;PA4877
algU (AL347_09705);PA4876;+;PA4876
algU (AL347_09705);PA4874;+;PA4874
algU (AL347_09705);gcbA;+;gcbA
algU (AL347_09705);PA4842;+;PA4842
algU (AL347_09705);PA4841;+;PA4841
algU (AL347_09705);PA4788;+;PA4788
algU (AL347_09705);PA4786;+;PA4786
algU (AL347_09705);PA4717;+;PA4717
algU (AL347_09705);PA4714;+;PA4714
algU (AL347_09705);PA4713;+;PA4713
algU (AL347_09705);PA4700;+;PA4700 (mrcB, pbpF, ponB)
algU (AL347_09705);PA4699;+;PA4699
algU (AL347_09705);PA4698;+;PA4698
algU (AL347_09705);PA4639;+;PA4639
algU (AL347_09705);PA4575;+;PA4575
algU (AL347_09705);PA4542;+;PA4542 (clpB)
algU (AL347_09705);PA4481;+;PA4481 (mreB,rodY, envB) 
algU (AL347_09705);PA4480;+;PA4480 (mreC)
algU (AL347_09705);PA4479;+;PA4479 (mreD)
algU (AL347_09705);PA4458;+;PA4458
algU (AL347_09705);PA4394;+;PA4394
algU (AL347_09705);PA4390;+;PA4390
algU (AL347_09705);PA4345;+;PA4345
algU (AL347_09705);PA4343;+;PA4343
algU (AL347_09705);PA4338;+;PA4338
algU (AL347_09705);PA4313;+;PA4313
algU (AL347_09705);PA4312;+;PA4312
algU (AL347_09705);PA4311;+;PA4311
algU (AL347_09705);PA4308;+;PA4308
algU (AL347_09705);ppgL;+;ppgL
algU (AL347_09705);PA4172;+;PA4172
algU (AL347_09705);PA4171;+;PA4171
algU (AL347_09705);PA4170;+;PA4170
algU (AL347_09705);PA4113;+;PA4113
algU (AL347_09705);PA4017;+;PA4017
algU (AL347_09705);PA4001;+;PA4001 (sltB1, mltB2)
algU (AL347_09705);PA3992;+;PA3992 (sltB3)
algU (AL347_09705);PA3962;+;PA3962
algU (AL347_09705);PA3945;+;PA3945
algU (AL347_09705);PA3940;+;PA3940
algU (AL347_09705);PA3891;+;PA3891 (opuCA)
algU (AL347_09705);PA3890;+;PA3890 (opuCB)
algU (AL347_09705);PA3889;+;PA3889 (opuCC)
algU (AL347_09705);PA3888;+;PA3888 (opuCD)
algU (AL347_09705);PA3887;+;PA3887 (nhaP)
algU (AL347_09705);PA3856;+;PA3856
algU (AL347_09705);PA3795;+;PA3795
algU (AL347_09705);PA3794;+;PA3794
algU (AL347_09705);PA3793;+;PA3793
algU (AL347_09705);PA3762;+;PA3762
algU (AL347_09705);PA3734;+;PA3734
algU (AL347_09705);PA3710;+;PA3710
algU (AL347_09705);PA3691;+;PA3691
algU (AL347_09705);mucP;+;mucP
algU (AL347_09705);PA3612;+;PA3612
algU (AL347_09705);PA3611;+;PA3611
algU (AL347_09705);PA3461;+;PA3461
algU (AL347_09705);PA3460;+;PA3460
algU (AL347_09705);PA3459;+;PA3459
algU (AL347_09705);PA3386;+;PA3386
algU (AL347_09705);phnC;+;phnC
algU (AL347_09705);PA3383;+;PA3383
algU (AL347_09705);PA3382;+;PA3382 (phnE)
algU (AL347_09705);PA3380;+;PA3380
algU (AL347_09705);PA3379;+;PA3379
algU (AL347_09705);PA3378;+;PA3378
algU (AL347_09705);PA3377;+;PA3377
algU (AL347_09705);PA3376;+;PA3376
algU (AL347_09705);PA3375;+;PA3375
algU (AL347_09705);PA3374;+;PA3374
algU (AL347_09705);PA3373;+;PA3373
algU (AL347_09705);PA3372;+;PA3372
algU (AL347_09705);PA3274;+;PA3274
algU (AL347_09705);PA3270;+;PA3270
algU (AL347_09705);PA3256;+;PA3256
algU (AL347_09705);PA3203;+;PA3203
algU (AL347_09705);PA3093;+;PA3093
algU (AL347_09705);PA3076;+;PA3076
algU (AL347_09705);PA3042;+;PA3042
algU (AL347_09705);PA3041;+;PA3041
algU (AL347_09705);PA3040;+;PA3040
algU (AL347_09705);PA3039;+;PA3039
algU (AL347_09705);PA3031;+;PA3031
algU (AL347_09705);PA3012;+;PA3012
algU (AL347_09705);nagZ;+;nagZ
algU (AL347_09705);PA3004;+;PA3004
algU (AL347_09705);PA3001;+;PA3001
algU (AL347_09705);PA2988;+;PA2988 (lolE)
algU (AL347_09705);PA2987;+;PA2987 (lolD, ycfV)
algU (AL347_09705);PA2986;+;PA2986 (lolC)
algU (AL347_09705);sbrR;+;sbrR
algU (AL347_09705);PA2884;+;PA2884
algU (AL347_09705);PA2883;+;PA2883
algU (AL347_09705);PA2815;+;PA2815
algU (AL347_09705);PA2559;+;PA2559
algU (AL347_09705);PA2546;+;PA2546
algU (AL347_09705);PA2528;+;PA2528 (muxA, yegM)
algU (AL347_09705);PA2527;+;PA2527 (muxB, yegN)
algU (AL347_09705);PA2526;+;PA2526 (muxC, yegO)
algU (AL347_09705);PA2525;+;PA2525 (opmB)
algU (AL347_09705);ptrC;+;ptrC
algU (AL347_09705);PA2485;+;PA2485
algU (AL347_09705);sdaA;+;sdaA
algU (AL347_09705);gcvT2;+;gcvT2
algU (AL347_09705);PA2434;+;PA2434
algU (AL347_09705);PA2433;+;PA2433
algU (AL347_09705);PA2416;+;PA2416 (treA)
algU (AL347_09705);PA2415;+;PA2415
algU (AL347_09705);PA2414;+;PA2414
algU (AL347_09705);pvdH;+;pvdH
algU (AL347_09705);PA2371;+;PA2371 (clpV3)
algU (AL347_09705);PA2370;+;PA2370 (hsiH3)
algU (AL347_09705);PA2369;+;PA2369 (hsiG3)
algU (AL347_09705);PA2368;+;PA2368 (hsiF3)
algU (AL347_09705);PA2367;+;PA2367 (hcp3)
algU (AL347_09705);PA2366;+;PA2366 (hsiC3, puuD)
algU (AL347_09705);PA2365;+;PA2365 (hsiB3)
algU (AL347_09705);gad;+;gad
algU (AL347_09705);kguD;+;kguD
algU (AL347_09705);kguK;+;kguK
algU (AL347_09705);PA2176;+;PA2176
algU (AL347_09705);PA2175;+;PA2175
algU (AL347_09705);PA2172;+;PA2172
algU (AL347_09705);PA2169;+;PA2169
algU (AL347_09705);PA2165;+;PA2165
algU (AL347_09705);PA2164;+;PA2164
algU (AL347_09705);PA2163;+;PA2163
algU (AL347_09705);PA2162;+;PA2162
algU (AL347_09705);PA2161;+;PA2161
algU (AL347_09705);PA2160;+;PA2160
algU (AL347_09705);PA2155;+;PA2155
algU (AL347_09705);PA2153;+;PA2153 (glgB)
algU (AL347_09705);PA2152;+;PA2152
algU (AL347_09705);PA2151;+;PA2151
algU (AL347_09705);PA2150;+;PA2150
algU (AL347_09705);PA2149;+;PA2149
algU (AL347_09705);PA2148;+;PA2148
algU (AL347_09705);PA2147;+;PA2147 (katE)
algU (AL347_09705);PA2146;+;PA2146
algU (AL347_09705);PA2144;+;PA2144
algU (AL347_09705);PA2143;+;PA2143
algU (AL347_09705);PA2135;+;PA2135
algU (AL347_09705);PA2108;+;PA2108
algU (AL347_09705);PA2023;+;PA2023 (galU, hasC, gtaB)
algU (AL347_09705);pqqH;+;pqqH
algU (AL347_09705);PA1959;+;PA1959 (bacA)
algU (AL347_09705);PA1958;+;PA1958
algU (AL347_09705);PA1957;+;PA1957
algU (AL347_09705);PA1870;+;PA1870
algU (AL347_09705);PA1857;+;PA1857
algU (AL347_09705);PA1833;+;PA1833
algU (AL347_09705);PA1832;+;PA1832
algU (AL347_09705);PA1745;+;PA1745
algU (AL347_09705);PA1744;+;PA1744
algU (AL347_09705);PA1743;+;PA1743
algU (AL347_09705);hsiF2;+;hsiF2
algU (AL347_09705);hsiC2;+;hsiC2
algU (AL347_09705);hsiB2;+;hsiB2
algU (AL347_09705);hsiA2;+;hsiA2
algU (AL347_09705);PA1616;+;PA1616
algU (AL347_09705);PA1615;+;PA1615
algU (AL347_09705);PA1614;+;PA1614 (gpsA, gpdA)
algU (AL347_09705);fabA;+;fabA
algU (AL347_09705);PA1609;+;PA1609 (fabB)
algU (AL347_09705);PA1605;+;PA1605
algU (AL347_09705);PA1594;+;PA1594
algU (AL347_09705);PA1593;+;PA1593
algU (AL347_09705);PA1579;+;PA1579
algU (AL347_09705);PA1578;+;PA1578
algU (AL347_09705);PA1577;+;PA1577
algU (AL347_09705);PA1573;+;PA1573
algU (AL347_09705);PA1572;+;PA1572
algU (AL347_09705);PA1571;+;PA1571
algU (AL347_09705);PA1562;+;PA1562  (acnA, acn)
algU (AL347_09705);PA1408;+;PA1408
algU (AL347_09705);PA1324;+;PA1324
algU (AL347_09705);PA1323;+;PA1323
algU (AL347_09705);PA1295;+;PA1295
algU (AL347_09705);PA1294;+;PA1294 (rnd)
algU (AL347_09705);PA1288;+;PA1288
algU (AL347_09705);PA1270;+;PA1270
algU (AL347_09705);PA1170;+;PA1170
algU (AL347_09705);PA1116;+;PA1116
algU (AL347_09705);PA1115;+;PA1115
algU (AL347_09705);PA1114;+;PA1114
algU (AL347_09705);PA1111;+;PA1111
algU (AL347_09705);PA0967;+;PA0967 (ruvB)
algU (AL347_09705);PA0962;+;PA0962 (dps)
algU (AL347_09705);PA0944;+;PA0944 (purN)
algU (AL347_09705);PA0943;+;PA0943
algU (AL347_09705);dctM;+;dctM
algU (AL347_09705);dctQ;+;dctQ
algU (AL347_09705);PA0884;+;PA0884
algU (AL347_09705);PA0883;+;PA0883
algU (AL347_09705);PA0882;+;PA0882
algU (AL347_09705);PA0881;+;PA0881
algU (AL347_09705);PA0880;+;PA0880
algU (AL347_09705);PA0879;+;PA0879
algU (AL347_09705);PA0878;+;PA0878
algU (AL347_09705);PA0833;+;PA0833
algU (AL347_09705);PA0805;+;PA0805
algU (AL347_09705);mucD;+;mucD
algU (AL347_09705);PA0682;+;PA0682 (hxcX)
algU (AL347_09705);PA0681;+;PA0681 (hxcT)
algU (AL347_09705);PA0658;+;PA0658
algU (AL347_09705);PA0598;+;PA0598
algU (AL347_09705);PA0597;+;PA0597
algU (AL347_09705);PA0596;+;PA0596
algU (AL347_09705);surA;+;surA
algU (AL347_09705);PA0567;+;PA0567
algU (AL347_09705);PA0552;+;PA0552 (pgk)
algU (AL347_09705);PA0537;+;PA0537
algU (AL347_09705);PA0536;+;PA0536
algU (AL347_09705);PA0377;+;PA0377
algU (AL347_09705);PA0375;+;PA0375 (ftsX)
algU (AL347_09705);PA0374;+;PA0374 (ftsE)
algU (AL347_09705);PA0373;+;PA0373 (ftsY)
algU (AL347_09705);PA0372;+;PA0372
algU (AL347_09705);PA0371;+;PA0371
algU (AL347_09705);PA0370;+;PA0370
algU (AL347_09705);PA0357;+;PA0357 (mutM)
algU (AL347_09705);PA0355;+;PA0355 (pfpI)
algU (AL347_09705);PA0354;+;PA0354
algU (AL347_09705);PA0333;+;PA0333
algU (AL347_09705);PA0332;+;PA0332
algU (AL347_09705);PA0329;+;PA0329
algU (AL347_09705);PA0309;+;PA0309
algU (AL347_09705);gabD;+;gabD
algU (AL347_09705);PA0232;+;PA0232 (pcaC)
algU (AL347_09705);triC;+;triC
algU (AL347_09705);triB;+;triB
algU (AL347_09705);PA0156;+;PA0156 (triA)
algU (AL347_09705);PA0138;+;PA0138
algU (AL347_09705);PA0137;+;PA0137
algU (AL347_09705);PA0136;+;PA0136
algU (AL347_09705);PA0134;+;PA0134
algU (AL347_09705);PA0071;+;PA0071 (tagR1)
algU (AL347_09705);PA0062;+;PA0062
algU (AL347_09705);PA0061;+;PA0061
algU (AL347_09705);PA0060;+;PA0060
algU (AL347_09705);PA2754;+;PA2754
algU (AL347_09705);PA2751;+;PA2751
algU (AL347_09705);PA2706;+;PA2706
algU (AL347_09705);PA2705;+;PA2705
algU (AL347_09705);PA5566;+;PA5566
algU (AL347_09705);mifS;+;mifS
algU (AL347_09705);mifR;+;mifR
algU (AL347_09705);PA5487;+;PA5487 (dgcH)
algU (AL347_09705);PA5428;+;PA5428
algU (AL347_09705);nalD;+;nalD
algU (AL347_09705);PA3458;+;PA3458
algU (AL347_09705);phnF;+;phnF
algU (AL347_09705);cpxR;+;cpxR
algU (AL347_09705);PA3177;+;PA3177
algU (AL347_09705);PA3094;+;PA3094
algU (AL347_09705);sbrI;?;sbrI
algU (AL347_09705);PA2881;+;PA2881
algU (AL347_09705);PA2798;+;PA2798
algU (AL347_09705);PA2797;+;PA2797
algU (AL347_09705);PA2704;+;PA2704
algU (AL347_09705);PA2484;+;PA2484
algU (AL347_09705);PA2417;+;PA2417
algU (AL347_09705);PA2281;+;PA2281
algU (AL347_09705);ptxR;+;ptxR
algU (AL347_09705);mucC;+;mucC
algU (AL347_09705);PA0356;+;PA0356
algU (AL347_09705);PA0225;+;PA0225
algU (AL347_09705);PA3952;+;PA3952
algU (AL347_09705);PA1053;+;PA1053
algU (AL347_09705);fusA;?;fusA
algU (AL347_09705);fliC;?;fliC
algU (AL347_09705);osmE;?;osmE
algW (AL347_11095);algU;+;algU
algW (AL347_11095);algD;+;algD
algW (AL347_11095);mucA;+;mucA
algZ (AL347_16055);alg8;+;alg8
algZ (AL347_16055);alg44;+;alg44
algZ (AL347_16055);algK;+;algK
algZ (AL347_16055);algE;+;algE
algZ (AL347_16055);algG;+;algG
algZ (AL347_16055);algX;+;algX
algZ (AL347_16055);algL;+;algL
algZ (AL347_16055);algI;+;algI
algZ (AL347_16055);algJ;+;algJ
algZ (AL347_16055);algF;+;algF
algZ (AL347_16055);algA;+;algA
algZ (AL347_16055);fleQ;-;fleQ
algZ (AL347_16055);algZ;-;algZ
algZ (AL347_16055);algD;+;algD
algZ (AL347_16055);exsA;-;exsA
amgR (AL347_15735);mexB;+;mexB
amgR (AL347_15735);oprM;+;oprM
ampR (AL347_22150);PA5514;-;PA5514
ampR (AL347_22150);lasI;-;lasI
ampR (AL347_22150);lasA;-;lasA
ampR (AL347_22150);lasB;+;lasB
ampR (AL347_22150);creD;-;creD
ampR (AL347_22150);prtR;+;prtR
ampR (AL347_22150);algU;-;algU
ampR (AL347_22150);ampDh3;+;ampDh3
ampR (AL347_22150);mexT;-;mexT
ampR (AL347_22150);nagZ;+;nagZ
ampR (AL347_22150);rpoS;+;rpoS
ampR (AL347_22150);ampP;+;ampP
ampR (AL347_22150);ampG;+;ampG
ampR (AL347_22150);ampD;+;ampD
ampR (AL347_22150);algB;-;algB
ampR (AL347_22150);ampDh2;+;ampDh2
ampR (AL347_22150);mexE;+;mexE
ampR (AL347_22150);mexF;+;mexF
ampR (AL347_22150);oprN;+;oprN
ampR (AL347_22150);mvfR;+;mvfR
ampR (AL347_22150);rhlR;+;rhlR
ampR (AL347_22150);poxB;+;poxB
ampR (AL347_22150);PA0149;?;PA0149
ampR (AL347_22150);femI;?;femI
ampR (AL347_22150);pvdS;?;pvdS
ampR (AL347_22150);sbrI;?;sbrI
ampR (AL347_22150);lasR;-;lasR
amrZ (AL347_25805);PA0038;-;PA0038
amrZ (AL347_25805);PA0082;+;PA0082 (tssA1)
amrZ (AL347_25805);PA0494;-;PA0494
amrZ (AL347_25805);vreA;+;vreA
amrZ (AL347_25805);PA0938;-;PA0938 (wzz2)
amrZ (AL347_25805);flgE;-;flgE
amrZ (AL347_25805);flgG;-;flgG
amrZ (AL347_25805);PA1088;-;PA1088
amrZ (AL347_25805);fleQ;-;fleQ
amrZ (AL347_25805);fliF;-;fliF
amrZ (AL347_25805);PA1199;-;PA1199
amrZ (AL347_25805);PA1340;-;PA1340 (aatM)
amrZ (AL347_25805);hsiB2;-;hsiB2
amrZ (AL347_25805);PA1664;-;PA1664 (orfX)
amrZ (AL347_25805);PA1668;-;PA1668 (dotU2)
amrZ (AL347_25805);PA1680;-;PA1680
amrZ (AL347_25805);PA1738;-;PA1738
amrZ (AL347_25805);PA1784;+;PA1784
amrZ (AL347_25805);PA1913;-;PA1913
amrZ (AL347_25805);PA1941;-;PA1941
amrZ (AL347_25805);pslA;-;pslA
amrZ (AL347_25805);PA2462;-;PA2462
amrZ (AL347_25805);PA2567;-;PA2567
amrZ (AL347_25805);PA3019;-;PA3019
amrZ (AL347_25805);PA3234;-;PA3234
amrZ (AL347_25805);PA3235;-;PA3235
amrZ (AL347_25805);PA3353;-;PA3353 (flgZ)
amrZ (AL347_25805);PA3367;-;PA3367
amrZ (AL347_25805);PA3401;-;PA3401
amrZ (AL347_25805);PA3413;-;PA3413
amrZ (AL347_25805);rhlR;-;rhlR
amrZ (AL347_25805);ygbB;-;ygbB
amrZ (AL347_25805);PA3951;-;PA3951
amrZ (AL347_25805);mucE;-;mucE
amrZ (AL347_25805);phzA1;-;phzA1
amrZ (AL347_25805);PA4222;-;PA4222
amrZ (AL347_25805);pctC;-;pctC
amrZ (AL347_25805);PA4324;-;PA4324
amrZ (AL347_25805);PA4683;-;PA4683
amrZ (AL347_25805);PA4980;-;PA4980
amrZ (AL347_25805);PA5138;-;PA5138
amrZ (AL347_25805);nirS;+;nirS
amrZ (AL347_25805);prtN;+;prtN
amrZ (AL347_25805);lecA;+;lecA
amrZ (AL347_25805);lecB;+;lecB
amrZ (AL347_25805);nosR;+;nosR
amrZ (AL347_25805);hasAp;+;hasAp
amrZ (AL347_25805);rhlA;+;rhlA
amrZ (AL347_25805);hemH;-;hemH
amrZ (AL347_25805);PA0149;?;PA0149
amrZ (AL347_25805);PA1363;?;PA1363
amrZ (AL347_25805);sigX;?;sigX
amrZ (AL347_25805);femI;?;femI
amrZ (AL347_25805);fpvI;?;fpvI
amrZ (AL347_25805);pvdS;?;pvdS
amrZ (AL347_25805);PA0165;?;PA0165
amrZ (AL347_25805);PA0428;?;PA0428
amrZ (AL347_25805);surA;?;surA
amrZ (AL347_25805);phdA;?;phdA
